"mID","tmdbID","imdbID","watchmodeID","title","plot","viewerRating","releaseYear","original_language","content_Rating","genre_names","language_names","aka_titles"
73,23,"12367","","Fight Club","An insomniac office worker forms an underground fight club as a form of male bonding.","9.0",1999,"English","R","Thriller","English","Shutter Island"
74,24,"12368",120,"Goodfellas","The rise and fall of a young man in the Mafia.","9.0",1990,"English","R","Sci-Fi","English","The Revenant"
75,25,"12369","","The Dark Knight Rises","Eight years after the events of ""The Dark Knight,"" Batman re-emerges to stop a new foe.","9.0",2012,"English","PG-13","Fantasy","English","Inglourious Basterds"
76,26,"12370",121,"The Lion King","A young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.","9.0",1994,"English","G","Action","English","The Social Network"
77,27,"12371","","Frozen","A young princess sets off on a perilous journey to find her estranged sister, whose icy powers are wreaking havoc on their kingdom.","8.0",2013,"English","PG","Mystery","English","Spider-Man: No Way Home"
78,28,"12372",122,"The Pursuit of Happyness","A struggling salesman takes custody of his son as he embarks on a life-changing journey.","8.0",2006,"English","PG-13","Drama","English","Guardians of the Galaxy"
79,29,"12373","","The Godfather: Part II","The continuation of the Corleone family saga, focusing on Michael Corleone rise to power and his father early years.","9.0",1974,"English","R","Sci-Fi","English","The Martian"
80,30,"12374","","The Shawshank Redemption","Two imprisoned men bond over several years, finding solace and eventual redemption through acts of common decency.","10.0",1994,"English","R","Mystery","English","Avatar"
81,31,"12375",123,"Star Wars: The Empire Strikes Back","The Rebels face off against the Empire, and Luke Skywalker begins his training with Yoda.","9.0",1980,"English","PG","Action","English","Fight Club"
82,32,"12376","","Back to the Future","A teenager is accidentally sent 30 years into the past in a time-traveling DeLorean.","9.0",1985,"English","PG","Comedy","English","Goodfellas"
83,33,"12377",124,"The Silence of the Lambs","A young FBI agent seeks the help of an imprisoned cannibalistic serial killer to catch another killer.","9.0",1991,"English","R","Adventure","English","The Dark Knight Rises"
84,34,"12378","","Se7en","A detective hunts down a serial killer who uses the seven deadly sins as his modus operandi.","9.0",1995,"English","R","Action","English","The Lion King"
85,35,"12379","","The Matrix Revolutions","Neo must lead the human race in the final battle against the Machines.","7.0",2003,"English","R","Thriller","English","Frozen"
86,36,"12380","","Blade Runner 2049","A young blade runner uncovers a long-buried secret that could change the course of humanity.","8.0",2017,"English","R","Drama","English","The Pursuit of Happyness"
87,37,"12381","","The Hateful Eight","A group of eight strangers with secrets seek refuge from a blizzard, leading to violence and betrayal.","8.0",2015,"English","R","Sci-Fi","English","The Godfather: Part II"
88,38,"12382",125,"Jurassic World","A new theme park with genetically engineered dinosaurs becomes the site of a deadly escape.","7.0",2015,"English","PG-13","Mystery","English","The Shawshank Redemption"
89,39,"12383","","The Bourne Identity","A man with amnesia embarks on a quest to learn his true identity while being pursued by assassins.","8.0",2002,"English","PG-13","Comedy","English","Star Wars: The Empire Strikes Back"
90,40,"12384","","The Iron Giant","A young boy befriends a giant robot and must protect it from the government.","8.0",1999,"English","PG","Adventure","English","Back to the Future"
91,41,"12385",126,"Ocean Eleven","A group of thieves plan to rob three Las Vegas casinos at the same time.","8.0",2001,"English","PG-13","Action","English","The Silence of the Lambs"
92,42,"12386","","The Incredibles","A family of undercover superheroes tries to live the quiet suburban life, but their superpowers are needed once again.","8.0",2004,"English","PG","Comedy","English","Se7en"
93,43,"12387","","The Exorcist","A mother seeks the help of a priest to rid her daughter of demonic possession.","8.0",1973,"English","R","Fantasy","English","The Matrix Revolutions"
94,44,"12388","","Star Wars: Return of the Jedi","The Rebels battle the Empire to end the tyrannical rule of the Galactic Empire.","9.0",1983,"English","PG","Action","English","Blade Runner 2049"
95,45,"12389","","Pirates of the Caribbean: The Curse of the Black Pearl","Captain Jack Sparrow teams up with a blacksmith to find the cursed pirate treasure.","8.0",2003,"English","PG-13","Thriller","English","The Hateful Eight"
96,46,"12390","","The Lion King","A young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.","9.0",1994,"English","G","Mystery","English","Jurassic World"
97,47,"12391",127,"Frozen","A young princess sets off on a perilous journey to find her estranged sister, whose icy powers are wreaking havoc on their kingdom.","8.0",2013,"English","PG","Action","English","The Bourne Identity"
98,48,"12392","","The Pursuit of Happyness","A struggling salesman takes custody of his son as he embarks on a life-changing journey.","8.0",2006,"English","PG-13","Sci-Fi","English","The Iron Giant"
99,49,"12393","","The Godfather: Part II","The continuation of the Corleone family saga, focusing on Michael Corleone rise to power and his father early years.","9.0",1974,"English","R","Drama","English","Ocean Eleven"
100,50,"12394","","The Shawshank Redemption","Two imprisoned men bond over several years, finding solace and eventual redemption through acts of common decency.","10.0",1994,"English","R","Comedy","English","The Incredibles"
103,78,"","","The big explosion","Something big happened...","8.0",1978,"English","G","","",""
